,Epsib,Ict,MGR_init,plasto_init,phyllo_init,ligulo_init,leaf_length_to_IN_length,SLAp,trait
knn,0.30884953190217457,0.13530563072528598,0.4349424493045894,0.007895892936495492,0.235401339577131,0.09577936998413511,0.48464872189422187,0.26731164004689595,0.4723409372980387
Ridge,0.2930522656214875,0.2651487142478238,0.5002380305213681,0.05137283124428106,0.28770512286792194,0.03163833031803967,0.554441347669488,0.27680738226356033,0.5617211265034622
