"Genotype","Epsib","Ict","MGR_init","plasto_init","phyllo_init","ligulo_init","leaf_length_to_IN_length","SLAp"
"BimbG",9.05978039800443,1.89306798389779,8.4706277288181,34.0952738427531,35.6694075193432,47.9246589535898,0.0500000001790186,17.0418438723492
"CSM335",8.66074094260245,1.78374095200892,8.27500759648142,32.0522143464009,37.989353273036,42.9309612472953,0.0887978741570218,10.0007987970786
"CSM388",6.94853867365872,2.49315895905884,5.74014333205186,21.5546169178927,41.1837762598743,42.3691133780781,0.143442516059143,10.0000025816945
"CSM63E",12.5391888778889,3.2731617444448,8.79754798772,25.8471566882925,40.8185055052274,43.3711467289224,0.0528101689832542,10
"CSM660",8.35768613570847,1.96806514452525,7.93001311365947,34.2263320787375,42.0488588648182,44.3679146437771,0.124765222770168,10.0000833126712
"Framida",11.5119544793993,3.1362746572938,9.73386774608102,37.1305315187,42.5373172953975,43.6312191583407,0.0798800776040762,10.0994040194945
"Gnossiconi",9.55523591238337,2.93554042912336,7.74822084851861,20.0990701086825,42.8456718997145,42.9978743444916,0.115226896872018,10.000115676558
"Grinkan",9.23418154515361,3.2160945366524,8.25343304419969,25.8910954607285,40.4956199290808,40.4972302718799,0.051616820248087,27.4420490888841
"ICSV745",10.2557875904818,3.74636565988405,8.63765676913354,24.9514634725756,43.2315271416296,43.660160818046,0.0761737133015619,10.168202208973
"IRAT204",9.79561529882511,1.89968145469565,8.19828628855887,27.0876945161717,40.3315821280258,44.2935699237611,0.0574198926876567,66.522006461918
"IS10801",6.82852453637802,1.82404159380815,8.32710775432302,35.0282342192382,36.2321564510424,40.1650746792853,0.120975776101356,17.1510565719563
"IS10876",12.9207823878724,2.83555018787263,10.3220628706839,29.0610518907804,42.4111637777416,43.438903167053,0.10817477134252,10.0000000000134
"IS10882",12.650653424418,2.4440377656902,8.52379614858223,25.8917404834673,43.6694734338313,43.9672334464829,0.092527885092936,73.2315089409416
"IS11119",12.8494013620845,3.79625800906603,9.16528959326128,24.0507360351438,41.4501550494438,43.2788856023242,0.125810948254582,10.0000000000002
"IS11758",8.819589117101,1.56641533058102,9.56746313404886,23.2499579084182,36.7785853741768,38.2929677997775,0.114654221032547,63.5897616836248
"IS12110",8.18232106860036,1.85548645088442,8.41417239420327,26.47937936681,35.5303780748467,39.5319938696074,0.09627175108625,31.2903078234481
"IS12447",8.68276970636192,2.78066723615197,8.05955679256616,22.5982168833739,40.3058325816681,43.6152830330719,0.0948140792169509,56.5206396715969
"IS13452",10.7943534439172,1.4066775623602,9.33052313053503,33.250561260867,35.4174235201213,41.8328054893429,0.0772327379063279,78.4177391300909
"IS13827",9.62908082672572,2.28075096181446,8.97488536379072,31.7559472625661,40.2743731949497,42.1485505808495,0.142543178775322,10.2973381434856
"IS13845",5.84766224284865,3.84828130906249,7.15467296648484,36.1097284848052,39.0210028205593,39.7548030602931,0.0845639724834454,30.6506359093085
"IS1398",12.8187573946655,3.41018074368077,9.39637716681201,25.0130156554755,40.9485985265981,43.388096836982,0.249856454485845,23.8356185276461
"IS14276",8.65259401181195,1.71321543631187,7.34352514501118,24.3259813735283,34.6892728722051,43.9679362180993,0.0500000001138739,40.8313215531034
"IS14298",9.33034018257418,1.79236102651744,6.82794953807247,25.0301780337767,35.8514952497465,36.0505980516471,0.0905896295092591,55.8645144690472
"IS14414",11.6324713102464,2.7654250614352,8.66041181773504,25.5591452300091,42.2035825833523,43.3753403678536,0.116113394237744,10
"IS14556",11.0249126137148,2.98080759010554,8.37090319213843,34.6786859445702,39.4010160361671,43.8747718293326,0.168985995611057,31.4863759676326
"IS14735",8.2999770340889,2.29590411660039,8.64908943556446,33.2142989326363,40.5832423729154,42.5494771187869,0.155081473618138,12.0849762991241
"IS14830",10.0249820756648,2.50367135716891,6.92286077744527,36.4646765046159,42.5365986019346,43.1425560293475,0.0658862098465693,33.8480773420318
"IS14963",10.2153579406059,2.40295608210748,11.8510168494534,26.2732342030913,40.350336997144,41.1259029751172,0.0898133438901739,47.4391815026209
"IS15401",12.9559144779519,2.70037264251541,9.11924353276848,30.8168336820873,40.978338534397,44.57554457976,0.0854564637135663,13.8234024555732
"IS15443",12.9947620241824,2.07980655844227,10.1213856767619,32.2699068438665,36.3068648832704,43.3576332247083,0.122758534602698,78.0603940611522
"IS15526",10.1919322226964,2.16260228804396,9.22128153553633,28.0706346818518,37.1964326976625,42.130798191037,0.121896930229074,36.0740589904305
"IS15752",10.6100424384845,3.18856646680359,9.45071695430847,20.5512707205879,40.5086375755507,41.4992451431017,0.164354547699684,31.519142279348
"IS16044",11.5522896240402,2.88354324615194,9.24548233446517,27.747716729648,42.2082173836594,42.5711849590705,0.107583347218202,24.1494397307235
"IS16125",8.65811566103776,2.20158259319331,8.55849172626894,24.8289632944632,38.8484546419074,42.6887856092506,0.0644872805311799,10.0234441861476
