"Plant","RMSE","Epsib","Ict","MGR_init","plasto_init","phyllo_init","ligulo_init","leaf_length_to_IN_length","SLAp"
NA,NA,6,0.5,6,30,30,30,0.1,35
NA,NA,20,2.5,14,40,45,45,0.2,60
