iter	Passed	Remaining
302	38566	88715
303	38707	88620
304	38829	88479
305	38958	88357
306	39099	88261
307	39223	88124
308	39357	88012
309	39489	87896
310	39610	87753
311	39730	87610
312	39876	87525
313	40000	87388
314	40140	87288
315	40263	87152
316	40392	87027
317	40514	86889
318	40638	86754
319	40757	86609
320	40879	86470
321	40998	86326
322	41115	86177
323	41233	86030
324	41377	85937
325	41496	85792
326	41615	85648
327	41741	85520
328	41866	85386
329	41986	85244
330	42109	85109
331	42231	84971
332	42369	84866
333	42492	84730
334	42613	84591
335	42732	84447
336	42882	84366
337	43010	84238
338	43131	84100
339	43276	84007
340	43403	83878
341	43521	83733
342	43644	83598
343	43775	83478
344	43893	83333
345	44012	83191
346	44131	83048
347	44254	82912
348	44415	82849
349	44540	82717
350	44661	82579
351	44787	82450
352	44947	82382
353	45084	82273
354	45202	82127
355	45328	81999
356	45464	81887
357	45615	81801
358	45732	81656
359	45851	81514
360	45982	81393
361	46099	81247
362	46218	81105
363	46348	80983
364	46470	80846
365	46631	80776
366	46750	80634
367	46880	80511
368	47003	80376
369	47158	80296
370	47290	80177
371	47426	80063
372	47548	79927
373	47681	79808
374	47832	79720
375	47949	79575
376	48078	79449
377	48202	79317
378	48338	79203
379	48456	79061
380	48575	78919
381	48696	78780
382	48817	78643
383	48948	78520
384	49094	78424
385	49215	78285
386	49345	78161
387	49468	78027
388	49584	77881
389	49701	77737
390	49832	77616
391	49952	77477
392	50067	77331
393	50185	77189
394	50319	77071
395	50438	76931
396	50599	76855
397	50718	76714
398	50846	76588
399	50969	76453
400	51094	76323
401	51214	76185
402	51345	76062
403	51468	75929
404	51600	75807
405	51718	75667
406	51847	75541
407	51971	75409
408	52099	75283
409	52231	75163
410	52368	75049
411	52487	74909
412	52604	74767
413	52746	74661
414	52886	74551
415	53002	74407
416	53118	74263
417	53236	74123
418	53370	74004
419	53484	73859
420	53602	73719
421	53723	73583
422	53844	73447
423	53966	73313
424	54087	73177
425	54205	73037
426	54332	72909
427	54454	72775
428	54572	72636
429	54700	72509
430	54829	72384
431	54952	72252
432	55082	72128
433	55199	71988
434	55347	71888
435	55493	71784
436	55610	71645
437	55730	71507
438	55849	71370
439	55983	71252
440	56119	71135
441	56258	71023
442	56385	70895
443	56503	70756
444	56630	70629
445	56751	70493
446	56869	70355
447	56996	70227
448	57144	70126
449	57272	70000
450	57401	69874
451	57518	69734
452	57676	69644
453	57804	69518
454	57932	69391
455	58052	69255
456	58179	69127
457	58315	69010
458	58440	68881
459	58558	68742
460	58677	68605
461	58797	68469
462	58917	68334
463	59078	68245
464	59199	68110
465	59333	67991
466	59452	67855
467	59572	67719
468	59720	67615
469	59849	67490
470	59972	67357
471	60090	67219
472	60211	67085
473	60346	66967
474	60471	66836
475	60635	66749
476	60818	66684
477	60938	66547
478	61054	66407
479	61199	66299
480	61321	66165
481	61439	66028
482	61557	65890
483	61679	65757
484	61798	65621
485	61918	65485
486	62035	65347
487	62167	65224
488	62302	65105
489	62419	64967
490	62546	64839
491	62664	64702
492	62802	64585
493	62937	64466
494	63055	64329
495	63177	64196
496	63310	64074
497	63432	63941
498	63555	63810
499	63681	63681
500	63820	63565
501	63958	63448
502	64083	63319
503	64221	63201
504	64350	63076
505	64470	62941
506	64615	62831
507	64766	62726
508	64885	62590
509	65002	62453
510	65120	62316
511	65250	62191
512	65378	62064
513	65495	61927
514	65613	61791
515	65740	61663
516	65868	61537
517	66001	61414
518	66124	61282
519	66252	61155
520	66379	61028
521	66509	60903
522	66642	60780
523	66768	60651
524	66886	60516
525	67003	60379
526	67120	60242
527	67242	60110
528	67386	59998
529	67520	59877
530	67641	59743
531	67758	59607
532	67877	59472
533	67995	59337
534	68118	59205
535	68247	59079
536	68381	58958
537	68500	58823
538	68641	58707
539	68760	58573
540	68879	58439
541	69001	58307
542	69167	58213
543	69294	58085
544	69416	57952
545	69544	57826
546	69665	57694
547	69786	57561
548	69933	57450
549	70052	57315
550	70189	57196
551	70315	57067
552	70436	56934
553	70562	56806
554	70685	56676
555	70808	56544
556	70926	56410
557	71046	56277
558	71163	56141
559	71285	56010
560	71403	55875
561	71521	55740
562	71642	55608
563	71774	55485
564	71892	55351
565	72054	55250
566	72178	55120
567	72304	54991
568	72433	54866
569	72562	54740
570	72686	54610
571	72821	54488
572	72938	54353
573	73055	54219
574	73171	54083
575	73294	53953
576	73414	53820
577	73532	53686
578	73653	53554
579	73814	53451
580	73949	53330
581	74090	53212
582	74223	53089
583	74366	52973
584	74492	52845
585	74632	52726
586	74759	52598
587	74882	52468
588	75004	52337
589	75122	52204
590	75258	52082
591	75393	51960
592	75514	51828
593	75635	51696
594	75756	51565
595	75874	51431
596	76005	51307
597	76122	51172
598	76257	51050
599	76385	50923
600	76504	50790
601	76625	50659
602	76751	50531
603	76869	50397
604	77001	50273
605	77121	50141
606	77259	50021
607	77390	49896
608	77512	49765
609	77636	49636
610	77758	49505
611	77890	49381
612	78040	49268
613	78162	49138
614	78322	49030
615	78448	48903
616	78568	48770
617	78688	48639
618	78807	48506
619	78932	48377
620	79049	48244
621	79169	48112
622	79299	47987
623	79418	47854
624	79538	47723
625	79656	47590
626	79774	47457
627	79900	47329
628	80018	47197
629	80139	47065
630	80267	46939
631	80394	46811
632	80519	46683
633	80673	46571
634	80794	46441
635	80914	46309
636	81032	46177
637	81152	46045
638	81293	45926
639	81420	45798
640	81541	45668
641	81680	45547
642	81799	45415
643	81918	45284
644	82036	45151
645	82156	45020
646	82295	44900
647	82415	44768
648	82535	44637
649	82655	44506
650	82799	44388
651	82933	44264
652	83052	44133
653	83172	44002
654	83303	43877
655	83427	43748
656	83553	43620
657	83673	43490
658	83796	43360
659	83914	43228
660	84032	43097
661	84176	42978
662	84305	42851
663	84423	42720
664	84541	42588
665	84670	42462
666	84790	42331
667	84910	42200
668	85044	42077
669	85173	41951
670	85293	41820
671	85443	41704
672	85594	41589
673	85724	41462
674	85859	41339
675	86003	41220
676	86126	41091
677	86275	40974
678	86410	40850
679	86527	40718
680	86674	40601
681	86795	40470
682	86913	40338
683	87040	40211
684	87166	40083
685	87291	39955
686	87428	39832
687	87545	39700
688	87662	39569
689	87804	39448
690	87932	39321
691	88054	39191
692	88173	39061
693	88307	38936
694	88429	38807
695	88573	38687
696	88692	38556
697	88824	38431
698	88944	38300
699	89061	38169
700	89184	38040
701	89329	37920
702	89452	37791
703	89574	37662
704	89701	37534
705	89822	37404
706	89943	37275
707	90075	37149
708	90233	37035
709	90361	36908
710	90480	36777
711	90596	36645
712	90725	36519
713	90868	36398
714	90988	36267
715	91105	36136
716	91235	36010
717	91365	35884
718	91486	35754
719	91607	35625
720	91725	35494
721	91859	35369
722	91980	35240
723	92107	35112
724	92256	34993
725	92385	34867
726	92506	34737
727	92625	34607
728	92790	34494
729	92915	34366
730	93036	34236
731	93155	34106
732	93286	33980
733	93405	33850
734	93524	33719
735	93643	33589
736	93785	33467
737	93908	33338
738	94036	33211
739	94160	33083
740	94319	32967
741	94440	32837
742	94557	32707
743	94677	32577
744	94794	32446
745	94911	32315
746	95031	32186
747	95154	32057
748	95290	31933
749	95426	31808
750	95549	31680
751	95669	31550
752	95790	31421
753	95950	31304
754	96109	31188
755	96254	31066
756	96376	30937
757	96534	30819
758	96654	30690
759	96772	30559
760	96893	30430
761	97017	30302
762	97139	30173
763	97271	30047
764	97390	29917
765	97509	29787
766	97638	29660
767	97757	29531
768	97879	29402
769	98007	29274
770	98154	29153
771	98282	29026
772	98415	28900
773	98537	28772
774	98660	28643
775	98789	28516
776	98960	28401
777	99090	28275
778	99231	28151
779	99407	28038
780	99527	27908
781	99652	27780
782	99772	27650
783	99893	27521
784	100012	27391
785	100173	27273
786	100294	27144
787	100424	27017
788	100574	26896
789	100693	26766
790	100817	26638
791	100939	26509
792	101064	26381
793	101181	26251
794	101312	26124
795	101431	25994
796	101548	25864
797	101667	25735
798	101812	25612
799	101943	25485
800	102065	25357
801	102188	25228
802	102316	25101
803	102443	24973
804	102589	24850
805	102710	24721
806	102831	24592
807	102958	24465
808	103077	24335
809	103197	24206
810	103333	24081
811	103456	23952
812	103624	23835
813	103750	23707
814	103892	23583
815	104011	23453
816	104158	23330
817	104291	23204
818	104430	23079
819	104551	22950
820	104698	22827
821	104837	22702
822	104961	22573
823	105097	22448
824	105243	22324
825	105377	22198
826	105503	22070
827	105625	21941
828	105748	21813
829	105879	21686
830	106000	21557
831	106128	21429
832	106262	21303
833	106381	21174
834	106511	21047
835	106629	20917
836	106764	20791
837	106886	20663
838	107006	20533
839	107151	20409
840	107282	20282
841	107404	20154
842	107526	20025
843	107652	19897
844	107778	19770
845	107895	19640
846	108012	19511
847	108130	19381
848	108279	19258
849	108398	19129
850	108523	19001
851	108646	18872
852	108764	18743
853	108880	18614
854	108996	18484
855	109124	18357
856	109249	18229
857	109377	18102
858	109495	17973
859	109654	17850
860	109778	17722
861	109901	17594
862	110022	17465
863	110145	17337
864	110280	17211
865	110400	17082
866	110532	16955
867	110650	16826
868	110766	16697
869	110905	16572
870	111025	16443
871	111146	16315
872	111274	16187
873	111394	16059
874	111513	15930
875	111633	15801
876	111749	15672
877	111865	15543
878	111983	15415
879	112118	15288
880	112242	15160
881	112372	15034
882	112491	14905
883	112633	14779
884	112757	14652
885	112878	14523
886	113029	14399
887	113156	14271
