iter	Passed	Remaining
0	135	135049
1	254	126900
2	382	127181
3	511	127322
4	637	126780
5	756	125316
6	938	133179
7	1056	131067
8	1216	133925
9	1367	135348
10	1492	134150
11	1645	135460
12	1801	136772
13	1926	135670
14	2058	135197
15	2188	134613
16	2313	133761
17	2434	132819
18	2560	132215
19	2680	131325
20	2798	130443
21	2917	129713
22	3040	129157
23	3161	128572
24	3288	128261
25	3414	127914
26	3536	127429
27	3659	127029
28	3778	126508
29	3894	125923
30	4012	125432
31	4150	125558
32	4281	125454
33	4411	125328
34	4531	124943
35	4651	124554
36	4771	124179
37	4908	124252
38	5034	124053
39	5174	124189
40	5325	124573
41	5454	124421
42	5574	124067
43	5721	124313
44	5840	123950
45	5961	123643
46	6091	123509
47	6210	123176
48	6342	123088
49	6469	122923
50	6621	123214
51	6749	123051
52	6868	122722
53	6987	122408
54	7110	122169
55	7230	121885
56	7373	121984
57	7509	121958
58	7640	121858
59	7759	121558
60	7915	121850
61	8057	121903
62	8203	122014
63	8344	122037
64	8461	121711
65	8578	121396
66	8699	121146
67	8819	120878
68	8941	120644
69	9067	120462
70	9192	120276
71	9322	120153
72	9443	119913
73	9558	119616
74	9678	119372
75	9800	119149
76	9919	118910
77	10044	118725
78	10167	118540
79	10319	118674
80	10448	118545
81	10566	118296
82	10685	118055
83	10849	118308
84	11007	118490
85	11125	118239
86	11242	117986
87	11370	117840
88	11490	117616
89	11608	117377
90	11726	117132
91	11859	117047
92	11978	116826
93	12096	116592
94	12231	116519
95	12356	116358
96	12475	116142
97	12602	115998
98	12723	115796
99	12850	115651
100	12970	115445
101	13090	115248
102	13211	115057
103	13343	114961
104	13461	114742
105	13580	114540
106	13710	114421
107	13839	114307
108	13959	114105
109	14084	113954
110	14203	113752
111	14327	113597
112	14447	113408
113	14574	113270
114	14706	113172
115	14825	112977
116	14942	112769
117	15079	112709
118	15203	112560
119	15335	112463
120	15455	112272
121	15572	112072
122	15695	111909
123	15848	111963
124	15969	111788
125	16088	111597
126	16219	111494
127	16348	111373
128	16470	111205
129	16589	111024
130	16722	110929
131	16847	110786
132	16966	110601
133	17082	110397
134	17197	110191
135	17342	110178
136	17461	109993
137	17584	109837
138	17711	109707
139	17846	109631
140	17964	109441
141	18079	109240
142	18195	109043
143	18328	108954
144	18445	108764
145	18563	108582
146	18691	108459
147	18813	108303
148	18940	108175
149	19083	108137
150	19222	108081
151	19354	107977
152	19473	107803
153	19607	107711
154	19744	107638
155	19886	107590
156	20004	107411
157	20127	107259
158	20263	107180
159	20389	107043
160	20512	106896
161	20634	106738
162	20752	106560
163	20869	106382
164	20987	106209
165	21108	106053
166	21260	106048
167	21390	105935
168	21513	105785
169	21632	105618
170	21754	105462
171	21877	105314
172	21998	105159
173	22124	105027
174	22248	104886
175	22397	104861
176	22526	104742
177	22676	104718
178	22797	104563
179	22928	104451
180	23045	104276
181	23177	104172
182	23305	104045
183	23429	103902
184	23548	103742
185	23671	103593
186	23860	103737
187	24012	103715
188	24134	103561
189	24272	103478
190	24403	103365
191	24523	103204
192	24655	103093
193	24781	102957
194	24907	102822
195	25057	102786
196	25175	102620
197	25312	102528
198	25445	102420
199	25570	102282
200	25689	102118
201	25811	101967
202	25929	101801
203	26054	101663
204	26173	101500
205	26298	101362
206	26448	101321
207	26573	101185
208	26693	101025
209	26811	100864
210	26929	100699
211	27047	100536
212	27168	100381
213	27291	100240
214	27458	100254
215	27579	100104
216	27701	99956
217	27824	99810
218	27944	99654
219	28062	99494
220	28180	99333
221	28319	99247
222	28450	99128
223	28568	98969
224	28688	98815
225	28807	98658
226	28925	98499
227	29044	98344
228	29198	98306
229	29358	98286
230	29481	98143
231	29599	97983
232	29716	97821
233	29832	97655
234	29947	97488
235	30069	97342
236	30209	97255
237	30349	97168
238	30472	97025
239	30596	96889
240	30731	96786
241	30850	96632
242	30972	96486
243	31095	96346
244	31221	96214
245	31354	96103
246	31480	95972
247	31628	95905
248	31752	95768
249	31881	95644
250	32016	95539
251	32143	95411
252	32266	95270
253	32397	95152
254	32514	94993
255	32646	94880
256	32763	94721
257	32929	94702
258	33047	94549
259	33164	94391
260	33287	94249
261	33414	94122
262	33534	93974
263	33651	93816
264	33769	93663
265	33905	93558
266	34028	93419
267	34157	93295
268	34283	93164
269	34408	93031
270	34542	92920
271	34660	92767
272	34779	92618
273	34898	92468
274	35028	92346
275	35165	92244
276	35311	92166
277	35430	92017
278	35550	91869
279	35667	91716
280	35784	91563
281	35901	91408
282	36028	91280
283	36165	91177
284	36331	91148
285	36463	91031
286	36582	90883
287	36704	90741
288	36827	90602
289	36950	90464
290	37068	90313
291	37195	90187
292	37332	90081
293	37455	89944
294	37575	89798
295	37698	89662
296	37832	89550
297	37954	89408
298	38071	89259
299	38202	89138
300	38330	89012
301	38448	88863
